#Total Fragments: 1000
#Fragments Considered: 667
#Valid Constructs: 619
#Guides Passing: 1278
#Guides Failing: 56
#Constructs Recognized: 344
#Constructs Unrecognized: 275
construct_id	target_a_id	probe_a_id	target_b_id	probe_b_id	A549-CV4-1000_d28_1
CHEK1_chr11_125499147__TSC1_chr9_135796748	CHEK1	CHEK1_chr11_125499147	TSC1	TSC1_chr9_135796748	0
CHEK1_chr11_125499147__TYMS_chr18_657730	CHEK1	CHEK1_chr11_125499147	TYMS	TYMS_chr18_657730	0
CHEK1_chr11_125499147__TYMS_chr18_659656	CHEK1	CHEK1_chr11_125499147	TYMS	TYMS_chr18_659656	0
CHEK1_chr11_125499147__TYMS_chr18_659665	CHEK1	CHEK1_chr11_125499147	TYMS	TYMS_chr18_659665	0
CHEK1_chr11_125499147__VEGFA_chr6_43738425	CHEK1	CHEK1_chr11_125499147	VEGFA	VEGFA_chr6_43738425	0
CHEK1_chr11_125499147__VEGFA_chr6_43742108	CHEK1	CHEK1_chr11_125499147	VEGFA	VEGFA_chr6_43742108	0
CHEK1_chr11_125499147__VHL_chr3_10183518	CHEK1	CHEK1_chr11_125499147	VHL	VHL_chr3_10183518	0
CHEK1_chr11_125499147__WEE1_chr11_9595462	CHEK1	CHEK1_chr11_125499147	WEE1	WEE1_chr11_9595462	0
CHEK2_chr22_29085137__ABL1_chr9_133589790	CHEK2	CHEK2_chr22_29085137	ABL1	ABL1_chr9_133589790	0
CHEK2_chr22_29085137__ABL1_chr9_133738356	CHEK2	CHEK2_chr22_29085137	ABL1	ABL1_chr9_133738356	0
CHEK2_chr22_29085137__ADA_chr20_43257696	CHEK2	CHEK2_chr22_29085137	ADA	ADA_chr20_43257696	0
CHEK2_chr22_29085137__ADA_chr20_43257769	CHEK2	CHEK2_chr22_29085137	ADA	ADA_chr20_43257769	0
CHEK2_chr22_29085137__ADA_chr20_43280245	CHEK2	CHEK2_chr22_29085137	ADA	ADA_chr20_43280245	0
CHEK2_chr22_29085137__AKT1_chr14_105239686	CHEK2	CHEK2_chr22_29085137	AKT1	AKT1_chr14_105239686	0
CHEK2_chr22_29085137__ALK_chr2_29541171	CHEK2	CHEK2_chr22_29085137	ALK	ALK_chr2_29541171	0
CHEK2_chr22_29085137__ALK_chr2_30143522	CHEK2	CHEK2_chr22_29085137	ALK	ALK_chr2_30143522	0
CHEK2_chr22_29085137__APC_chr5_112102023	CHEK2	CHEK2_chr22_29085137	APC	APC_chr5_112102023	0
CHEK2_chr22_29085137__APC_chr5_112102933	CHEK2	CHEK2_chr22_29085137	APC	APC_chr5_112102933	0
CHEK2_chr22_29085137__ARID1A_chr1_27022876	CHEK2	CHEK2_chr22_29085137	ARID1A	ARID1A_chr1_27022876	0
CHEK2_chr22_29085137__ARID1A_chr1_27056286	CHEK2	CHEK2_chr22_29085137	ARID1A	ARID1A_chr1_27056286	0
CHEK2_chr22_29085137__ARID1A_chr1_27056288	CHEK2	CHEK2_chr22_29085137	ARID1A	ARID1A_chr1_27056288	0
CHEK2_chr22_29085137__ATM_chr11_108098390	CHEK2	CHEK2_chr22_29085137	ATM	ATM_chr11_108098390	0
CHEK2_chr22_29085137__ATM_chr11_108098402	CHEK2	CHEK2_chr22_29085137	ATM	ATM_chr11_108098402	0
CHEK2_chr22_29085137__BCL2_chr18_60795945	CHEK2	CHEK2_chr22_29085137	BCL2	BCL2_chr18_60795945	0
CHEK2_chr22_29085137__BCL2_chr18_60795960	CHEK2	CHEK2_chr22_29085137	BCL2	BCL2_chr18_60795960	0
CHEK2_chr22_29085137__BCL2_chr18_60985877	CHEK2	CHEK2_chr22_29085137	BCL2	BCL2_chr18_60985877	0
CHEK2_chr22_29085137__BRAF_chr7_140508787	CHEK2	CHEK2_chr22_29085137	BRAF	BRAF_chr7_140508787	0
CHEK2_chr22_29085137__BRAF_chr7_140624501	CHEK2	CHEK2_chr22_29085137	BRAF	BRAF_chr7_140624501	0
CHEK2_chr22_29085137__BRCA1_chr17_41267735	CHEK2	CHEK2_chr22_29085137	BRCA1	BRCA1_chr17_41267735	0
CHEK2_chr22_29085137__BRCA2_chr13_32890586	CHEK2	CHEK2_chr22_29085137	BRCA2	BRCA2_chr13_32890586	0
CHEK2_chr22_29085137__BRCA2_chr13_32914228	CHEK2	CHEK2_chr22_29085137	BRCA2	BRCA2_chr13_32914228	0
CHEK2_chr22_29085137__BRD4_chr19_15376361	CHEK2	CHEK2_chr22_29085137	BRD4	BRD4_chr19_15376361	0
CHEK2_chr22_29085137__BRD4_chr19_15376403	CHEK2	CHEK2_chr22_29085137	BRD4	BRD4_chr19_15376403	0
CHEK2_chr22_29085137__BRD4_chr19_15383894	CHEK2	CHEK2_chr22_29085137	BRD4	BRD4_chr19_15383894	0
CHEK2_chr22_29085137__BTK_chrX_100626613	CHEK2	CHEK2_chr22_29085137	BTK	BTK_chrX_100626613	0
CHEK2_chr22_29085137__BTK_chrX_100645534	CHEK2	CHEK2_chr22_29085137	BTK	BTK_chrX_100645534	0
CHEK2_chr22_29085137__CASP8_chr2_202123033	CHEK2	CHEK2_chr22_29085137	CASP8	CASP8_chr2_202123033	0
CHEK2_chr22_29085137__CASP8_chr2_202131404	CHEK2	CHEK2_chr22_29085137	CASP8	CASP8_chr2_202131404	0
CHEK2_chr22_29085137__CDH1_chr16_68772250	CHEK2	CHEK2_chr22_29085137	CDH1	CDH1_chr16_68772250	0
CHEK2_chr22_29085137__CDH1_chr16_68772255	CHEK2	CHEK2_chr22_29085137	CDH1	CDH1_chr16_68772255	0
CHEK2_chr22_29085137__CDK4_chr12_58143253	CHEK2	CHEK2_chr22_29085137	CDK4	CDK4_chr12_58143253	0
CHEK2_chr22_29085137__CDK6_chr7_92244474	CHEK2	CHEK2_chr22_29085137	CDK6	CDK6_chr7_92244474	0
CHEK2_chr22_29085137__CDK6_chr7_92252365	CHEK2	CHEK2_chr22_29085137	CDK6	CDK6_chr7_92252365	0
CHEK2_chr22_29085137__CDK9_chr9_130548998	CHEK2	CHEK2_chr22_29085137	CDK9	CDK9_chr9_130548998	0
CHEK2_chr22_29085137__CDKN1B_chr12_12870777	CHEK2	CHEK2_chr22_29085137	CDKN1B	CDKN1B_chr12_12870777	0
CHEK2_chr22_29085137__CDKN2A_chr9_21968726	CHEK2	CHEK2_chr22_29085137	CDKN2A	CDKN2A_chr9_21968726	0
CHEK2_chr22_29085137__CDKN2A_chr9_21971100	CHEK2	CHEK2_chr22_29085137	CDKN2A	CDKN2A_chr9_21971100	0
CHEK2_chr22_29085137__CHEK1_chr11_125496687	CHEK2	CHEK2_chr22_29085137	CHEK1	CHEK1_chr11_125496687	0
CHEK2_chr22_29085137__DHFR_chr5_79950216	CHEK2	CHEK2_chr22_29085137	DHFR	DHFR_chr5_79950216	0
CHEK2_chr22_29085137__DHFR_chr5_79950217	CHEK2	CHEK2_chr22_29085137	DHFR	DHFR_chr5_79950217	0
CHEK2_chr22_29085137__EGFR_chr7_55086962	CHEK2	CHEK2_chr22_29085137	EGFR	EGFR_chr7_55086962	0
CHEK2_chr22_29085137__EGFR_chr7_55209992	CHEK2	CHEK2_chr22_29085137	EGFR	EGFR_chr7_55209992	0
CHEK2_chr22_29085137__ERBB2_chr17_37868292	CHEK2	CHEK2_chr22_29085137	ERBB2	ERBB2_chr17_37868292	0
CHEK2_chr22_29085137__FGFR2_chr10_123353328	CHEK2	CHEK2_chr22_29085137	FGFR2	FGFR2_chr10_123353328	0
CHEK2_chr22_29085137__FGFR3_chr4_1795735	CHEK2	CHEK2_chr22_29085137	FGFR3	FGFR3_chr4_1795735	0
CHEK2_chr22_29085137__FGFR3_chr4_1795736	CHEK2	CHEK2_chr22_29085137	FGFR3	FGFR3_chr4_1795736	0
CHEK2_chr22_29085137__FLT3_chr13_28674643	CHEK2	CHEK2_chr22_29085137	FLT3	FLT3_chr13_28674643	0
CHEK2_chr22_29085137__FNTA_chr8_42914260	CHEK2	CHEK2_chr22_29085137	FNTA	FNTA_chr8_42914260	0
CHEK2_chr22_29085137__FNTA_chr8_42924781	CHEK2	CHEK2_chr22_29085137	FNTA	FNTA_chr8_42924781	0
CHEK2_chr22_29085137__GATA3_chr10_8097722	CHEK2	CHEK2_chr22_29085137	GATA3	GATA3_chr10_8097722	0
CHEK2_chr22_29085137__GATA3_chr10_8097790	CHEK2	CHEK2_chr22_29085137	GATA3	GATA3_chr10_8097790	0
CHEK2_chr22_29085137__HDAC1_chr1_32792601	CHEK2	CHEK2_chr22_29085137	HDAC1	HDAC1_chr1_32792601	0
CHEK2_chr22_29085137__HSP90AA1_chr14_102551760	CHEK2	CHEK2_chr22_29085137	HSP90AA1	HSP90AA1_chr14_102551760	0
CHEK2_chr22_29085137__HSP90AA1_chr14_102552141	CHEK2	CHEK2_chr22_29085137	HSP90AA1	HSP90AA1_chr14_102552141	0
CHEK2_chr22_29085137__HSP90AA1_chr14_102605736	CHEK2	CHEK2_chr22_29085137	HSP90AA1	HSP90AA1_chr14_102605736	0
CHEK2_chr22_29085137__IGF1R_chr15_99192824	CHEK2	CHEK2_chr22_29085137	IGF1R	IGF1R_chr15_99192824	0
CHEK2_chr22_29085137__JAK2_chr9_5021970	CHEK2	CHEK2_chr22_29085137	JAK2	JAK2_chr9_5021970	0
CHEK2_chr22_29085137__KDM5C_chrX_53241022	CHEK2	CHEK2_chr22_29085137	KDM5C	KDM5C_chrX_53241022	0
CHEK2_chr22_29085137__KDM5C_chrX_53254068	CHEK2	CHEK2_chr22_29085137	KDM5C	KDM5C_chrX_53254068	0
CHEK2_chr22_29085137__KDM6A_chrX_44732838	CHEK2	CHEK2_chr22_29085137	KDM6A	KDM6A_chrX_44732838	0
CHEK2_chr22_29085137__KDM6A_chrX_44820615	CHEK2	CHEK2_chr22_29085137	KDM6A	KDM6A_chrX_44820615	0
CHEK2_chr22_29085137__KMT2D_chr12_49448161	CHEK2	CHEK2_chr22_29085137	KMT2D	KMT2D_chr12_49448161	0
CHEK2_chr22_29085137__KMT2D_chr12_49448468	CHEK2	CHEK2_chr22_29085137	KMT2D	KMT2D_chr12_49448468	0
CHEK2_chr22_29085137__MAP2K1_chr15_66679721	CHEK2	CHEK2_chr22_29085137	MAP2K1	MAP2K1_chr15_66679721	0
CHEK2_chr22_29085137__MAP2K1_chr15_66679728	CHEK2	CHEK2_chr22_29085137	MAP2K1	MAP2K1_chr15_66679728	0
CHEK2_chr22_29085137__MET_chr7_116340188	CHEK2	CHEK2_chr22_29085137	MET	MET_chr7_116340188	0
CHEK2_chr22_29085137__MLH1_chr3_37045912	CHEK2	CHEK2_chr22_29085137	MLH1	MLH1_chr3_37045912	0
CHEK2_chr22_29085137__MTOR_chr1_11317010	CHEK2	CHEK2_chr22_29085137	MTOR	MTOR_chr1_11317010	0
CHEK2_chr22_29085137__MTOR_chr1_11317149	CHEK2	CHEK2_chr22_29085137	MTOR	MTOR_chr1_11317149	0
CHEK2_chr22_29085137__MTOR_chr1_11319459	CHEK2	CHEK2_chr22_29085137	MTOR	MTOR_chr1_11319459	0
CHEK2_chr22_29085137__NF1_chr17_29422308	CHEK2	CHEK2_chr22_29085137	NF1	NF1_chr17_29422308	0
CHEK2_chr22_29085137__NonTargetingControlGuideForHuman0352	CHEK2	CHEK2_chr22_29085137	NonTargetingControlGuideForHuman0352	NonTargetingControlGuideForHuman0352	0
CHEK2_chr22_29085137__PARP1_chr1_226578249	CHEK2	CHEK2_chr22_29085137	PARP1	PARP1_chr1_226578249	0
CHEK2_chr22_29085137__PBRM1_chr3_52696257	CHEK2	CHEK2_chr22_29085137	PBRM1	PBRM1_chr3_52696257	0
CHEK2_chr22_29085137__PBRM1_chr3_52702516	CHEK2	CHEK2_chr22_29085137	PBRM1	PBRM1_chr3_52702516	0
CHEK2_chr22_29085137__PDGFRA_chr4_55124932	CHEK2	CHEK2_chr22_29085137	PDGFRA	PDGFRA_chr4_55124932	0
CHEK2_chr22_29085137__PDGFRA_chr4_55124963	CHEK2	CHEK2_chr22_29085137	PDGFRA	PDGFRA_chr4_55124963	0
CHEK2_chr22_29085137__PDGFRA_chr4_55129914	CHEK2	CHEK2_chr22_29085137	PDGFRA	PDGFRA_chr4_55129914	0
CHEK2_chr22_29085137__PIK3R1_chr5_67576410	CHEK2	CHEK2_chr22_29085137	PIK3R1	PIK3R1_chr5_67576410	0
CHEK2_chr22_29085137__PIK3R1_chr5_67576421	CHEK2	CHEK2_chr22_29085137	PIK3R1	PIK3R1_chr5_67576421	0
CHEK2_chr22_29085137__PRKDC_chr8_48686398	CHEK2	CHEK2_chr22_29085137	PRKDC	PRKDC_chr8_48686398	0
CHEK2_chr22_29085137__PRKDC_chr8_48872683	CHEK2	CHEK2_chr22_29085137	PRKDC	PRKDC_chr8_48872683	0
CHEK2_chr22_29085137__PTEN_chr10_89653786	CHEK2	CHEK2_chr22_29085137	PTEN	PTEN_chr10_89653786	0
CHEK2_chr22_29085137__PTEN_chr10_89711868	CHEK2	CHEK2_chr22_29085137	PTEN	PTEN_chr10_89711868	0
CHEK2_chr22_29085137__RB1_chr13_48936969	CHEK2	CHEK2_chr22_29085137	RB1	RB1_chr13_48936969	0
CHEK2_chr22_29085137__ROR1_chr1_64240089	CHEK2	CHEK2_chr22_29085137	ROR1	ROR1_chr1_64240089	0
CHEK2_chr22_29085137__RPS6KB1_chr17_57970538	CHEK2	CHEK2_chr22_29085137	RPS6KB1	RPS6KB1_chr17_57970538	0
CHEK2_chr22_29085137__RPS6KB1_chr17_57987922	CHEK2	CHEK2_chr22_29085137	RPS6KB1	RPS6KB1_chr17_57987922	0
CHEK2_chr22_29085137__RPS6KB1_chr17_57987949	CHEK2	CHEK2_chr22_29085137	RPS6KB1	RPS6KB1_chr17_57987949	0
CHEK2_chr22_29085137__RRM2_chr2_10262728	CHEK2	CHEK2_chr22_29085137	RRM2	RRM2_chr2_10262728	0
CHEK2_chr22_29085137__RRM2_chr2_10262940	CHEK2	CHEK2_chr22_29085137	RRM2	RRM2_chr2_10262940	0
CHEK2_chr22_29085137__RRM2_chr2_10262957	CHEK2	CHEK2_chr22_29085137	RRM2	RRM2_chr2_10262957	0
CHEK2_chr22_29085137__RUNX1_chr21_36252902	CHEK2	CHEK2_chr22_29085137	RUNX1	RUNX1_chr21_36252902	0
CHEK2_chr22_29085137__SETD2_chr3_47142951	CHEK2	CHEK2_chr22_29085137	SETD2	SETD2_chr3_47142951	0
CHEK2_chr22_29085137__SMAD4_chr18_48575673	CHEK2	CHEK2_chr22_29085137	SMAD4	SMAD4_chr18_48575673	0
CHEK2_chr22_29085137__SMARCA4_chr19_11095011	CHEK2	CHEK2_chr22_29085137	SMARCA4	SMARCA4_chr19_11095011	0
CHEK2_chr22_29085137__SMARCB1_chr22_24133993	CHEK2	CHEK2_chr22_29085137	SMARCB1	SMARCB1_chr22_24133993	0
CHEK2_chr22_29085137__SMO_chr7_128828974	CHEK2	CHEK2_chr22_29085137	SMO	SMO_chr7_128828974	0
CHEK2_chr22_29085137__SMO_chr7_128845117	CHEK2	CHEK2_chr22_29085137	SMO	SMO_chr7_128845117	0
CHEK2_chr22_29085137__SRC_chr20_36012562	CHEK2	CHEK2_chr22_29085137	SRC	SRC_chr20_36012562	0
CHEK2_chr22_29085137__SRC_chr20_36022600	CHEK2	CHEK2_chr22_29085137	SRC	SRC_chr20_36022600	0
CHEK2_chr22_29085137__TOP1_chr20_39690055	CHEK2	CHEK2_chr22_29085137	TOP1	TOP1_chr20_39690055	0
CHEK2_chr22_29085137__TOP1_chr20_39690109	CHEK2	CHEK2_chr22_29085137	TOP1	TOP1_chr20_39690109	0
CHEK2_chr22_29085137__TSC1_chr9_135796748	CHEK2	CHEK2_chr22_29085137	TSC1	TSC1_chr9_135796748	0
CHEK2_chr22_29085137__TSC1_chr9_135796796	CHEK2	CHEK2_chr22_29085137	TSC1	TSC1_chr9_135796796	0
CHEK2_chr22_29085137__TYMS_chr18_657730	CHEK2	CHEK2_chr22_29085137	TYMS	TYMS_chr18_657730	0
CHEK2_chr22_29085137__TYMS_chr18_659665	CHEK2	CHEK2_chr22_29085137	TYMS	TYMS_chr18_659665	0
CHEK2_chr22_29085137__VHL_chr3_10183518	CHEK2	CHEK2_chr22_29085137	VHL	VHL_chr3_10183518	0
CHEK2_chr22_29085137__WEE1_chr11_9595845	CHEK2	CHEK2_chr22_29085137	WEE1	WEE1_chr11_9595845	0
CHEK2_chr22_29090029__ABL1_chr9_133738283	CHEK2	CHEK2_chr22_29090029	ABL1	ABL1_chr9_133738283	0
CHEK2_chr22_29090029__ABL1_chr9_133738356	CHEK2	CHEK2_chr22_29090029	ABL1	ABL1_chr9_133738356	0
CHEK2_chr22_29090029__ADA_chr20_43257769	CHEK2	CHEK2_chr22_29090029	ADA	ADA_chr20_43257769	0
CHEK2_chr22_29090029__AKT1_chr14_105239609	CHEK2	CHEK2_chr22_29090029	AKT1	AKT1_chr14_105239609	0
CHEK2_chr22_29090029__AKT1_chr14_105239686	CHEK2	CHEK2_chr22_29090029	AKT1	AKT1_chr14_105239686	0
CHEK2_chr22_29090029__ALK_chr2_29541172	CHEK2	CHEK2_chr22_29090029	ALK	ALK_chr2_29541172	0
CHEK2_chr22_29090029__ALK_chr2_30143522	CHEK2	CHEK2_chr22_29090029	ALK	ALK_chr2_30143522	0
CHEK2_chr22_29090029__APC_chr5_112102933	CHEK2	CHEK2_chr22_29090029	APC	APC_chr5_112102933	0
CHEK2_chr22_29090029__ARID2_chr12_46205318	CHEK2	CHEK2_chr22_29090029	ARID2	ARID2_chr12_46205318	1
CHEK2_chr22_29090029__ATM_chr11_108098350	CHEK2	CHEK2_chr22_29090029	ATM	ATM_chr11_108098350	0
CHEK2_chr22_29090029__BCL2_chr18_60985877	CHEK2	CHEK2_chr22_29090029	BCL2	BCL2_chr18_60985877	0
CHEK2_chr22_29090029__BRAF_chr7_140508787	CHEK2	CHEK2_chr22_29090029	BRAF	BRAF_chr7_140508787	0
CHEK2_chr22_29090029__BRAF_chr7_140624501	CHEK2	CHEK2_chr22_29090029	BRAF	BRAF_chr7_140624501	0
CHEK2_chr22_29090029__BRCA2_chr13_32912006	CHEK2	CHEK2_chr22_29090029	BRCA2	BRCA2_chr13_32912006	0
CHEK2_chr22_29090029__BRD4_chr19_15383894	CHEK2	CHEK2_chr22_29090029	BRD4	BRD4_chr19_15383894	0
CHEK2_chr22_29090029__BTK_chrX_100626613	CHEK2	CHEK2_chr22_29090029	BTK	BTK_chrX_100626613	0
CHEK2_chr22_29090029__BTK_chrX_100629565	CHEK2	CHEK2_chr22_29090029	BTK	BTK_chrX_100629565	0
CHEK2_chr22_29090029__BTK_chrX_100645534	CHEK2	CHEK2_chr22_29090029	BTK	BTK_chrX_100645534	0
CHEK2_chr22_29090029__CASP8_chr2_202123033	CHEK2	CHEK2_chr22_29090029	CASP8	CASP8_chr2_202123033	0
CHEK2_chr22_29090029__CASP8_chr2_202131404	CHEK2	CHEK2_chr22_29090029	CASP8	CASP8_chr2_202131404	0
CHEK2_chr22_29090029__CASP8_chr2_202134297	CHEK2	CHEK2_chr22_29090029	CASP8	CASP8_chr2_202134297	0
CHEK2_chr22_29090029__CDH1_chr16_68771300	CHEK2	CHEK2_chr22_29090029	CDH1	CDH1_chr16_68771300	0
CHEK2_chr22_29090029__CDK4_chr12_58143253	CHEK2	CHEK2_chr22_29090029	CDK4	CDK4_chr12_58143253	0
CHEK2_chr22_29090029__CDK4_chr12_58144705	CHEK2	CHEK2_chr22_29090029	CDK4	CDK4_chr12_58144705	0
CHEK2_chr22_29090029__CDK6_chr7_92244474	CHEK2	CHEK2_chr22_29090029	CDK6	CDK6_chr7_92244474	0
CHEK2_chr22_29090029__CDK6_chr7_92462628	CHEK2	CHEK2_chr22_29090029	CDK6	CDK6_chr7_92462628	0
CHEK2_chr22_29090029__CDK9_chr9_130548998	CHEK2	CHEK2_chr22_29090029	CDK9	CDK9_chr9_130548998	0
CHEK2_chr22_29090029__CDK9_chr9_130550235	CHEK2	CHEK2_chr22_29090029	CDK9	CDK9_chr9_130550235	0
CHEK2_chr22_29090029__CDKN1B_chr12_12870931	CHEK2	CHEK2_chr22_29090029	CDKN1B	CDKN1B_chr12_12870931	0
CHEK2_chr22_29090029__CDKN2A_chr9_21968726	CHEK2	CHEK2_chr22_29090029	CDKN2A	CDKN2A_chr9_21968726	0
CHEK2_chr22_29090029__CDKN2A_chr9_21994327	CHEK2	CHEK2_chr22_29090029	CDKN2A	CDKN2A_chr9_21994327	0
CHEK2_chr22_29090029__CHEK1_chr11_125496644	CHEK2	CHEK2_chr22_29090029	CHEK1	CHEK1_chr11_125496644	0
CHEK2_chr22_29090029__CHEK1_chr11_125496687	CHEK2	CHEK2_chr22_29090029	CHEK1	CHEK1_chr11_125496687	0
CHEK2_chr22_29090029__DHFR_chr5_79950216	CHEK2	CHEK2_chr22_29090029	DHFR	DHFR_chr5_79950216	0
CHEK2_chr22_29090029__DHFR_chr5_79950217	CHEK2	CHEK2_chr22_29090029	DHFR	DHFR_chr5_79950217	0
CHEK2_chr22_29090029__EGFR_chr7_55209992	CHEK2	CHEK2_chr22_29090029	EGFR	EGFR_chr7_55209992	0
CHEK2_chr22_29090029__ERBB2_chr17_37855800	CHEK2	CHEK2_chr22_29090029	ERBB2	ERBB2_chr17_37855800	0
CHEK2_chr22_29090029__ERBB2_chr17_37868292	CHEK2	CHEK2_chr22_29090029	ERBB2	ERBB2_chr17_37868292	0
CHEK2_chr22_29090029__FGFR2_chr10_123353328	CHEK2	CHEK2_chr22_29090029	FGFR2	FGFR2_chr10_123353328	0
CHEK2_chr22_29090029__FGFR3_chr4_1795655	CHEK2	CHEK2_chr22_29090029	FGFR3	FGFR3_chr4_1795655	0
CHEK2_chr22_29090029__FGFR3_chr4_1795736	CHEK2	CHEK2_chr22_29090029	FGFR3	FGFR3_chr4_1795736	0
CHEK2_chr22_29090029__FLT3_chr13_28636131	CHEK2	CHEK2_chr22_29090029	FLT3	FLT3_chr13_28636131	0
CHEK2_chr22_29090029__FLT3_chr13_28636172	CHEK2	CHEK2_chr22_29090029	FLT3	FLT3_chr13_28636172	1
CHEK2_chr22_29090029__FNTA_chr8_42911471	CHEK2	CHEK2_chr22_29090029	FNTA	FNTA_chr8_42911471	0
CHEK2_chr22_29090029__FNTA_chr8_42914260	CHEK2	CHEK2_chr22_29090029	FNTA	FNTA_chr8_42914260	0
CHEK2_chr22_29090029__FNTA_chr8_42924781	CHEK2	CHEK2_chr22_29090029	FNTA	FNTA_chr8_42924781	0
CHEK2_chr22_29090029__GATA3_chr10_8097612	CHEK2	CHEK2_chr22_29090029	GATA3	GATA3_chr10_8097612	0
CHEK2_chr22_29090029__HDAC1_chr1_32757816	CHEK2	CHEK2_chr22_29090029	HDAC1	HDAC1_chr1_32757816	0
CHEK2_chr22_29090029__HDAC1_chr1_32792601	CHEK2	CHEK2_chr22_29090029	HDAC1	HDAC1_chr1_32792601	0
CHEK2_chr22_29090029__HDAC1_chr1_32792637	CHEK2	CHEK2_chr22_29090029	HDAC1	HDAC1_chr1_32792637	0
CHEK2_chr22_29090029__HDAC2_chr6_114266539	CHEK2	CHEK2_chr22_29090029	HDAC2	HDAC2_chr6_114266539	0
CHEK2_chr22_29090029__HDAC2_chr6_114267214	CHEK2	CHEK2_chr22_29090029	HDAC2	HDAC2_chr6_114267214	0
CHEK2_chr22_29090029__HDAC6_chrX_48661089	CHEK2	CHEK2_chr22_29090029	HDAC6	HDAC6_chrX_48661089	0
CHEK2_chr22_29090029__HSP90AA1_chr14_102552141	CHEK2	CHEK2_chr22_29090029	HSP90AA1	HSP90AA1_chr14_102552141	0
CHEK2_chr22_29090029__IGF1R_chr15_99434664	CHEK2	CHEK2_chr22_29090029	IGF1R	IGF1R_chr15_99434664	0
CHEK2_chr22_29090029__JAK2_chr9_5050721	CHEK2	CHEK2_chr22_29090029	JAK2	JAK2_chr9_5050721	0
CHEK2_chr22_29090029__KDM5C_chrX_53241021	CHEK2	CHEK2_chr22_29090029	KDM5C	KDM5C_chrX_53241021	0
CHEK2_chr22_29090029__KDM5C_chrX_53254068	CHEK2	CHEK2_chr22_29090029	KDM5C	KDM5C_chrX_53254068	0
CHEK2_chr22_29090029__KDM6A_chrX_44820615	CHEK2	CHEK2_chr22_29090029	KDM6A	KDM6A_chrX_44820615	0
CHEK2_chr22_29090029__KIT_chr4_55524164	CHEK2	CHEK2_chr22_29090029	KIT	KIT_chr4_55524164	0
CHEK2_chr22_29090029__KMT2D_chr12_49448161	CHEK2	CHEK2_chr22_29090029	KMT2D	KMT2D_chr12_49448161	0
CHEK2_chr22_29090029__KMT2D_chr12_49448168	CHEK2	CHEK2_chr22_29090029	KMT2D	KMT2D_chr12_49448168	0
CHEK2_chr22_29090029__KMT2D_chr12_49448468	CHEK2	CHEK2_chr22_29090029	KMT2D	KMT2D_chr12_49448468	0
CHEK2_chr22_29090029__MAP2K1_chr15_66679756	CHEK2	CHEK2_chr22_29090029	MAP2K1	MAP2K1_chr15_66679756	0
CHEK2_chr22_29090029__MAP3K1_chr5_56152466	CHEK2	CHEK2_chr22_29090029	MAP3K1	MAP3K1_chr5_56152466	0
CHEK2_chr22_29090029__MLH1_chr3_37035029	CHEK2	CHEK2_chr22_29090029	MLH1	MLH1_chr3_37035029	0
CHEK2_chr22_29090029__MSH6_chr2_48018111	CHEK2	CHEK2_chr22_29090029	MSH6	MSH6_chr2_48018111	0
CHEK2_chr22_29090029__MSH6_chr2_48018154	CHEK2	CHEK2_chr22_29090029	MSH6	MSH6_chr2_48018154	0
CHEK2_chr22_29090029__NF1_chr17_29422308	CHEK2	CHEK2_chr22_29090029	NF1	NF1_chr17_29422308	0
CHEK2_chr22_29090029__NF1_chr17_29483038	CHEK2	CHEK2_chr22_29090029	NF1	NF1_chr17_29483038	0
CHEK2_chr22_29090029__NonTargetingControlGuideForHuman0362	CHEK2	CHEK2_chr22_29090029	NonTargetingControlGuideForHuman0362	NonTargetingControlGuideForHuman0362	1
CHEK2_chr22_29090029__NonTargetingControlGuideForHuman0412	CHEK2	CHEK2_chr22_29090029	NonTargetingControlGuideForHuman0412	NonTargetingControlGuideForHuman0412	0
CHEK2_chr22_29090029__PARP1_chr1_226578249	CHEK2	CHEK2_chr22_29090029	PARP1	PARP1_chr1_226578249	0
CHEK2_chr22_29090029__PARP1_chr1_226578301	CHEK2	CHEK2_chr22_29090029	PARP1	PARP1_chr1_226578301	0
CHEK2_chr22_29090029__PBRM1_chr3_52696257	CHEK2	CHEK2_chr22_29090029	PBRM1	PBRM1_chr3_52696257	0
CHEK2_chr22_29090029__PBRM1_chr3_52713723	CHEK2	CHEK2_chr22_29090029	PBRM1	PBRM1_chr3_52713723	0
CHEK2_chr22_29090029__PDGFRA_chr4_55124932	CHEK2	CHEK2_chr22_29090029	PDGFRA	PDGFRA_chr4_55124932	0
CHEK2_chr22_29090029__PDGFRA_chr4_55124963	CHEK2	CHEK2_chr22_29090029	PDGFRA	PDGFRA_chr4_55124963	0
CHEK2_chr22_29090029__PIK3R1_chr5_67576410	CHEK2	CHEK2_chr22_29090029	PIK3R1	PIK3R1_chr5_67576410	1
CHEK2_chr22_29090029__PIK3R1_chr5_67576421	CHEK2	CHEK2_chr22_29090029	PIK3R1	PIK3R1_chr5_67576421	0
CHEK2_chr22_29090029__PRKDC_chr8_48872683	CHEK2	CHEK2_chr22_29090029	PRKDC	PRKDC_chr8_48872683	0
CHEK2_chr22_29090029__PTEN_chr10_89653786	CHEK2	CHEK2_chr22_29090029	PTEN	PTEN_chr10_89653786	0
CHEK2_chr22_29090029__PTEN_chr10_89711868	CHEK2	CHEK2_chr22_29090029	PTEN	PTEN_chr10_89711868	0
